0,hmm how do I know if you are
1,saw many times i think SPLCHAR
2,by Google Chrome
3,I might be ridiculous but I am telling the truth DCHAR
4,wt do u do NUM a living then
5,youre so rude
6,Nothing much DCHAR Sitting sipping and watching TV DCHAR How abt u QCHAR
7,ok im back EXCHAR
8,really really really really really
9,in the bay
10,you got a boyfriend QCHAR
11,Alright DCHAR Keep me in loop DCHAR
12,Many thanks once again EXCHAR
13,Bad bad EXCHAR Thats the bad kind of bad DCHAR
14,I made it an option
15,I need to get it tailored but Im in love with it HAPPY
16,Get over it DCHAR Go out with someone else DCHAR
17,I know you guys want to loose to me always DCHAR
18,I KNOW YOURE LYING SPLCHAR AB BYS
19,you are only the creator of your brain DCHAR
20,Haha is more like SPLCHAR Hehe is more of a giggle DCHAR SPLCHAR
21,Yes I love to dance HAPPY
22,Guess what SPLCHAR I dont DCHAR
23,What about yesterday
24,but sometimes one cant express the same
25,ill ask around
26,Im waiting
27,sent you a mail just now DCHAR
28,so Ive been told
29,my thoughts exactly EXCHAR
30,why QCHAR
31,THANK YOU
32,anyways good morning DCHAR hows life at your end DCHAR
33,So Ive been told DCHAR
34,yeAh
35,Can you be more specific QCHAR
36,you know what it is
37,city QCHAR QCHAR QCHAR QCHAR QCHAR QCHAR mean State right QCHAR
38,haha the truth usually is DCHAR OTHER
39,Now happy QCHAR SPLCHAR
40,you just said you did EXCHAR
41,after this battle SPLCHAR sure SPLCHAR D
42,YA YA VERY GOOD FRIEND
43,no im not ignore you
44,Im never happy DCHAR But Im almost happy DCHAR
45,Im just being nice to you DCHAR
46,let me know EXCHAR
47,No problem SPLCHAR glad to help
48,Tell you what QCHAR
49,I can talk now EXCHAR SPLCHAR D
50,You didnt Asmita SPLCHAR see my answer
51,I never said that its freezing DCHAR
52,gonna explain you later DCHAR EXCHAR
53,Im the student DCHAR
54,Im online now SPLCHAR Will wait for you DCHAR
55,Er what QCHAR
56,Formulation would be tablets DCHAR
57,Yes SPLCHAR mostly on my feet DCHAR
58,We are sorry for creating your nation DCHAR
59,You know that Im here for you DCHAR
60,this little thing called the SPLCHAR internet SPLCHAR DCHAR
61,Ah SPLCHAR now I see SPLCHAR my phone cropped the picture DCHAR Thanks DCHAR HAPPY
62,hayee Ab DCHAR You are love DCHAR Pure love DCHAR Forever SPLCHAR NUM
63,LOL DCHAR Well SPLCHAR ok then DCHAR
64,I dont like coffee DCHAR
65,If a zombie wants to eat your face you might as well let it
66,Yes DCHAR I know DCHAR
67,Appatasiri DCHAR High five then EXCHAR 🖑 HAPPY HAPPY HAPPY HAPPY
68,why not today QCHAR
69,Will you endorse me for my skills in using autocorrect QCHAR ANGRY ANGRY
70,How so QCHAR What are some examples of intuitive thoughts or behaviors QCHAR
71,SPLCHAR why not DCHAR QCHAR
72,Ive been known DCHAR
73,How can you have any pudding if you dont eat yer meat QCHAR EXCHAR
74,so cant dinner SPLCHAR
75,name one reason
76,you love them really SPLCHAR haha
77,I have a document which has details regarding the scoring topics in each subject DCHAR
78,if you hate them SPLCHAR they are not your friends then xD
79,You are welcome EXCHAR SPLCHAR D
80,too many EXCHAR
81,n nothing happened EXCHAR
82,You already did trick EXCHAR SPLCHAR Man no Im not wasting my unlimited texts on you SPLCHAR
83,hmm DCHAR
84,talk to the hand
85,I FEEL YOU DCHAR Im breaking into million pieces SAD SAD SAD SAD
86,im trying you arent answering
87,and youre pretending to be a lizard QCHAR Lol
88,Sorry for what QCHAR QCHAR SPLCHAR c
89,You are an alternative fact
90,dont say it DCHAR
91,I can see you EXCHAR
92,u make no sense
93,and good food after DCHAR
94,Thats about all Im gonna bother with reading DCHAR If that many DCHAR
95,Three best colors DCHAR SPLCHAR
96,u asked me if u cn ask me something
97,SPLCHAR NUM you seem like a happy person
98,Reading is for rich people
99,What I did now QCHAR SAD
100,thank you SPLCHAR
101,all day QCHAR
102,It is now DCHAR
103,sent
104,Are you in pacific NW QCHAR
105,why not QCHAR SPLCHAR
106,im nt talking
107,But sadly enough too many claim to be trustworthy
108,why you deleting it QCHAR
109,but thats what you told me
110,Thank you EXCHAR
111,Why are you crying EXCHAR SPLCHAR
112,Wait DCHAR what QCHAR
113,Im not sure what you mean
114,Alright DCHAR Lets talk then DCHAR
115,we didnt take it on my phone
116,Thank you SPLCHAR
117,Yep SPLCHAR we are enjoying too SPLCHAR
118,but you look like you are
119,Then go play it DCHAR
120,Oh are people still doing this whole friendzone thing QCHAR
121,who are you missing SPLCHAR may I ask QCHAR
122,you are boring
123,Wouldnt it be Uploading information into peoples brain QCHAR
124,Hello EXCHAR How are you QCHAR
125,what job QCHAR
126,You are EXCHAR
127,Im The bat EXCHAR SAD
128,Hello EXCHAR How are you QCHAR
129,ice cold
130,But what should we do QCHAR
131,I know HAPPY HAPPY
132,have I said that QCHAR
133,Broken hearts do break DCHAR HAPPY
134,Stay stay stay always makes me happy DCHAR SPLCHAR SPLCHAR QCHAR QCHAR
135,Id say first learn the spelling of relationship DCHAR
136,exjactly EXCHAR
137,am not meanie
138,It was never mine to break SPLCHAR NUM
139,Hello EXCHAR How are you QCHAR
140,tired of life or just your day QCHAR Aha Im happy today SPLCHAR thanks for asking
141,youre always at the gym QCHAR
142,Youre just being too nice
143,Things you should do to pass the exam DCHAR
144,brahmanandam scenes added
145,my best friend DCHAR
146,never
147,i dont need to name specifics
148,What side is the walk side QCHAR
149,NUM SPLCHAR NUM SPLCHAR NUM Only these are the numbers for your question DCHAR
150,So this cat one  is your new addiction QCHAR HAPPY
151,Looks like a ficus DCHAR
152,I think thats funny DCHAR
153,still waiting
